NAME,NAME_EN,AMENITY,SHOP,OSM_TYPE,OSM_ID,longitude,latitude
Еделвайс,,restaurant,,node,166591242,23.3928021,42.667372
Милениум,,restaurant,,node,166591355,23.3940037,42.6687226
Приз,Priz,restaurant,,node,168015445,23.3902411,42.6670426
KFC,,fast_food,,node,290726492,23.2599343,42.7145487
Спорко,Sporko,pub,,node,291783429,23.3560243,42.682673
Hom's,,restaurant,,node,306128086,23.3363077,42.6887088
Скадарлиjа,,restaurant,,node,307801276,23.2610739,42.7168533
Островчето,,restaurant,,node,332095079,23.3043402,42.6941561
Златният грош,Golden Coin,restaurant,,node,348207475,23.3401509,42.6451477
Люси 98,,cafe,,node,348207483,23.3599912,42.6525295
Йоли,,restaurant,,node,349283081,23.3623046,42.653427
Family House,,restaurant,,node,351119970,23.2516245,42.7204877
McDonald's,,fast_food,,node,355528248,23.2788639,42.7169288
Ариявич,Ariavich,restaurant,,node,355528758,23.2699863,42.7134717
Momento,,fast_food,,node,364052271,23.3066979,42.6860292
Happy Bar & Grill,Happy Bar & Grill,restaurant,,node,365389384,23.3079425,42.6885709
Момина скала,Momina skala,restaurant,,node,454587175,23.249418,42.6235576
"Кафе-сладкарница ""Момина скала""",Momina Skala,cafe,,node,454587178,23.2495312,42.6236063
OMV - Viva,,fast_food,,node,461624140,23.3416895,42.7077747
Ветрило,,restaurant,,node,462187760,23.299416,42.6702317
Мимас,Mimas,fast_food,,node,487326341,23.3298627,42.6875313
boho,,restaurant,,node,613495269,23.321061,42.6917339
Dark Sister,Dark Sister,restaurant,,node,633181480,23.3215888,42.68959
,,cafe,,node,639999976,23.3553168,42.6572821
,,pub,,node,677550226,23.3407262,42.6535457
,,restaurant,,node,679960873,23.4070758,42.6293432
Скарабар,,restaurant,,node,686682584,23.3461401,42.6978938
Сите Българи Заедно,,restaurant,,node,688797653,23.3097416,42.7111522
Пицария Андра,,restaurant,,node,688798599,23.3100178,42.7112625
Engineer's kitchen,,cafe,,node,704602140,23.354522,42.6568944
Coffee with soul,,cafe,,node,707684276,23.3535985,42.6575589
Оазис,,bar,,node,731526177,23.3437903,42.7397881
Кестените,,restaurant,,node,731533615,23.3433988,42.7383934
Снек-бар,,restaurant,,node,731533620,23.3441434,42.739332
Gio,,cafe,,node,733021182,23.3185554,42.6924469
Dana near & far,,restaurant,,node,766856073,23.3289658,42.671288
РицарЯ,,restaurant,,node,766856075,23.328777,42.6704905
ELIT,,restaurant,,node,791641321,23.2881904,42.7013714
Тимо парк,,restaurant,,node,791641334,23.2941599,42.7054669
,,fast_food,,node,798088982,23.3493834,42.6559365
Спирка за Гладни,,fast_food,,node,802726063,23.3493829,42.6558713
Баба Яга,,fast_food,kiosk,node,805063280,23.3412153,42.6481215
Sweet House,,cafe,,node,819697685,23.3797647,42.6414703
Апартамента,The Apartment,bar,,node,829063739,23.3243053,42.6895533
Уго,,restaurant,,node,829063774,23.3243994,42.6896773
Soda,,cafe,,node,830139861,23.3198731,42.6833681
Лагуна,,restaurant,,node,833828356,23.3000188,42.7336823
Amaro,,cafe,,node,833920564,23.2994953,42.685083
Рош Сладко и солено,,restaurant,,node,833920574,23.2974783,42.6849943
Daisy,,food_court,,node,833931377,23.296634,42.6854607
Северняци,,restaurant,,node,835216306,23.2944184,42.7396166
Хай Уай Тиан,,restaurant,,node,835282577,23.3052812,42.7246728
Релакс,,cafe,,node,835282633,23.3030956,42.7257079
Патладжан,,cafe,,node,835282638,23.3032436,42.7256118
Двете фукли,,cafe,pastry,node,835282676,23.2941473,42.737724
"212",,cafe,,node,835282686,23.2953568,42.737183
,,cafe,,node,851323769,23.3532952,42.6918281
,,restaurant,,node,851323772,23.3536185,42.6918462
,,bar,,node,851323777,23.3539068,42.6919815
,,fast_food,,node,851323791,23.3533059,42.6919913
Al Dente,,restaurant,,node,885911176,23.29406,42.6815592
Baron Craft Beer Bar,,restaurant,,node,885911179,23.3280316,42.698391
Erdinche,,restaurant,,node,905368641,23.3444081,42.6695805
Софийска баница,,restaurant,,node,964765600,23.1450342,42.7103977
ханче Брезите,,restaurant,,node,976488023,23.3645657,42.5250704
Къщата на Ян,,restaurant,,node,1037928662,23.3579593,42.6507563
Воденицата,Vodenitzata,restaurant,,node,1065120608,23.3035155,42.6214674
Eddy's,,cafe,,node,1225900166,23.3703185,42.66651
Bar 19,,cafe,,node,1249699878,23.3104675,42.6975117
,,cafe,,node,1271117913,23.3675965,42.6797961
My Choice,,restaurant,,node,1271118077,23.3674743,42.6796305
Пиано Бар,,bar,,node,1286535637,23.3600054,42.6713284
Чехов 51,,restaurant,,node,1286821713,23.3606459,42.6693948
,,fast_food,,node,1286822616,23.3622446,42.6697696
Куатро Стаджони,Quattro Stagioni,restaurant,,node,1286945930,23.351616,42.671867
Кафе Флай,,restaurant,,node,1308875380,23.4029104,42.6668509
Ресторант Лебед,,restaurant,,node,1357852021,23.4156628,42.5951832
Ресторант Вила Борсалино,Restaurant Villa Borsalino,restaurant,,node,1358298484,23.4195271,42.5877011
Културен дом,,restaurant,,node,1373939547,23.4000736,42.6076269
Spaghetti Kitchen,,restaurant,,node,1386063896,23.3297036,42.6935899
КПГ,,pub,,node,1386208183,23.3297531,42.6940652
Кокалянско ханче,,restaurant,,node,1387218200,23.4239932,42.5826039
ЮСТИ,,cafe,,node,1413166968,23.2595962,42.6628511
Каминката,,restaurant,,node,1491390380,23.2516622,42.6687073
Оазис,,restaurant,,node,1508345605,23.3748174,42.7122931
Вики,,restaurant,,node,1509496706,23.3800225,42.7110281
McDonald's,,fast_food,,node,1595373035,23.2904394,42.650238
Umbrella Bar,,cafe,,node,1654894991,23.3468469,42.6517936
Bonbon,,cafe,,node,1699465201,23.3025824,42.6715231
Sol's place,,cafe,,node,1699498049,23.3002089,42.6777223
Регал,,restaurant,,node,1699498099,23.3027366,42.6737736
Мекица и кафе,,restaurant,,node,1699498101,23.3014303,42.6767687
Марая 21,,restaurant,,node,1699498102,23.3016076,42.6769779
Miss Sweet Point,,fast_food,,node,1699498117,23.3006334,42.6782799
